baby.com.Chansons1.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.CKNToys.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.CrazyFunKids.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.DisneyCarToys.apk	0.0068	0.0104	0.9828	0.0019	0.011	0.9871	0.4194	0.2258	0.2903	0.0645	0.0007	0.0019	0.0206	0.0102	0	0.0012	0.0036	0	0	0	0	0.0061	0	0	0	0	0	0	0	0	0	0.9794	0.0097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319	0	0	0	0	0	0	0.0123	0	0.0369	0	0	0	0	0.0123	0	0	0	0.0049	0	0	0	0.9017	0	0	0	0	0.0018	0.0186	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5444	0.0054	0.086	0.0081	0.0618	0.0793	0.0995	0
baby.com.FamilyFunPack.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.FluffyJetToys.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.FunToyzCollector.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.Kiddyzuzaa.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.KidsandToys.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.KidsSurpriseFun.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
